tienda,categoria_cruda,subcategoria_cruda,categoria_norm
amalfitana,Blazer,,Sacos & Blazers
amalfitana,Blusa,,Blusas
amalfitana,Casaca,,Casacas
amalfitana,Chaleco,,Chalecos
amalfitana,Chompa,,Chompas & Cardigans
amalfitana,Conjunto,,Sets
amalfitana,NO INDICA,,EXCLUIR
amalfitana,Pantalon,,Pantalones
amalfitana,Polo,,Blusas
amalfitana,Tarjeta de regalo,,EXCLUIR
amalfitana,Trench,,Abrigos
amalfitana,Vestido,,Vestidos & Enterizos
amalfitana,chaqueta,,Casacas
bassika,Abrigo,,Abrigos
bassika,Aromas,,EXCLUIR
bassika,Blazer,,Sacos & Blazers
bassika,Blusa,,Blusas
bassika,Botines,,EXCLUIR
bassika,Calzado,,EXCLUIR
bassika,Casaca,,Casacas
bassika,Chaleco,,Chalecos
bassika,Chalina,,EXCLUIR
bassika,Chompas,,Chompas & Cardigans
bassika,Correa,,EXCLUIR
bassika,Falda,,Faldas
bassika,Gift Card,,EXCLUIR
bassika,Gorros,,EXCLUIR
bassika,Jean,,Pantalones
bassika,Lentes,,EXCLUIR
bassika,NO INDICA,,EXCLUIR
bassika,Pantalón,,Pantalones
bassika,Pañuelo,,EXCLUIR
bassika,Polo,,Blusas
bassika,Short,,Shorts
bassika,Vestido,,Vestidos & Enterizos
ecru,NO INDICA,,EXCLUIR
exit,Abrigo,,Abrigos
exit,Arete,,EXCLUIR
exit,Blazer,,Sacos & Blazers
exit,Blusa,,Blusas
exit,Botin,,EXCLUIR
exit,Casaca,,Casacas
exit,Chaleco,,Chalecos
exit,Chompa,,Chompas & Cardigans
exit,Colets,,EXCLUIR
exit,Collar,,EXCLUIR
exit,Correa,,EXCLUIR
exit,Enterizo,,Vestidos & Enterizos
exit,Falda,,Faldas
exit,Gorro,,EXCLUIR
exit,Hilo,,EXCLUIR
exit,Jean,,Pantalones
exit,Neceser,,EXCLUIR
exit,Pantalon,,Pantalones
exit,Panuelo,,EXCLUIR
exit,Pashmina,,EXCLUIR
exit,Perfume,,EXCLUIR
exit,Polera,,Blusas
exit,Polo,,Blusas
exit,Pulsera,,EXCLUIR
exit,Short,,Shorts
exit,Spray,,EXCLUIR
exit,Tarjeta de regalo,,EXCLUIR
exit,Vestido,,Vestidos & Enterizos
exit,Vincha,,EXCLUIR
mentha_chocolate,Abrigo,,Abrigos
mentha_chocolate,Arete,,EXCLUIR
mentha_chocolate,Blazer,,Sacos & Blazers
mentha_chocolate,Blusa,,Blusas
mentha_chocolate,Bolso,,Carteras
mentha_chocolate,Bota,,EXCLUIR
mentha_chocolate,Botin,,EXCLUIR
mentha_chocolate,Capa,,Abrigos
mentha_chocolate,Cardigan,,Chompas & Cardigans
mentha_chocolate,Cartera,,Carteras
mentha_chocolate,Casaca,,Casacas
mentha_chocolate,Chaleco,,Chalecos
mentha_chocolate,Chaqueta,,Casacas
mentha_chocolate,Chompa,,Chompas & Cardigans
mentha_chocolate,Cinturon,,EXCLUIR
mentha_chocolate,Colets,,EXCLUIR
mentha_chocolate,Collar,,EXCLUIR
mentha_chocolate,Correa,,EXCLUIR
mentha_chocolate,Enterizo,,Vestidos & Enterizos
mentha_chocolate,Falda,,Faldas
mentha_chocolate,Gancho,,EXCLUIR
mentha_chocolate,Hilo,,EXCLUIR
mentha_chocolate,Jean,,Pantalones
mentha_chocolate,Leggins,,Pantalones
mentha_chocolate,Llavero,,EXCLUIR
mentha_chocolate,Monedero,,Carteras
mentha_chocolate,Necessaire,,EXCLUIR
mentha_chocolate,Pantalon,,Pantalones
mentha_chocolate,Pashmina,,EXCLUIR
mentha_chocolate,Perfume,,EXCLUIR
mentha_chocolate,Polera,,Blusas
mentha_chocolate,Polo,,Blusas
mentha_chocolate,Porta Laptop,,EXCLUIR
mentha_chocolate,Pulsera,,EXCLUIR
mentha_chocolate,Short,,Shorts
mentha_chocolate,Tarjeta de regalo,,EXCLUIR
mentha_chocolate,Top,,Blusas
mentha_chocolate,Vestido,,Vestidos & Enterizos
mentha_chocolate,Vincha,,EXCLUIR
mentha_chocolate,Zapatilla,,EXCLUIR
mentha_chocolate,Zapato,,EXCLUIR
michelle_belau,Casaca,,Casacas
michelle_belau,Casacas,,Casacas
michelle_belau,Casacas De Jean,,Casacas
michelle_belau,Abrigo,,Abrigos
michelle_belau,Abrigos,,Abrigos
michelle_belau,Trench Coats,,Abrigos
michelle_belau,Ponchos Y Capas Y Chales,,Abrigos
michelle_belau,Blazer,,Sacos & Blazers
michelle_belau,Blazers,,Sacos & Blazers
michelle_belau,Sacos,,Sacos & Blazers
michelle_belau,Chaleco,,Chalecos
michelle_belau,Chalecos,,Chalecos
michelle_belau,Chalecos De Chompa,,Chalecos
michelle_belau,Chalecos De Jean,,Chalecos
michelle_belau,Chompa,,Chompas & Cardigans
michelle_belau,Chompas,,Chompas & Cardigans
michelle_belau,Cardigan,,Chompas & Cardigans
michelle_belau,Cardigans,,Chompas & Cardigans
michelle_belau,Cardigans De Chompa,,Chompas & Cardigans
michelle_belau,Hoodies,,Chompas & Cardigans
michelle_belau,Sets De Chompas,,Sets
michelle_belau,Conjunto,,Sets
michelle_belau,Blusa,,Blusas
michelle_belau,Blusas,,Blusas
michelle_belau,Blusas De Jean,,Blusas
michelle_belau,Polo,,Blusas
michelle_belau,Polos,,Blusas
michelle_belau,Polera,,Blusas
michelle_belau,Poleras,,Blusas
michelle_belau,Top,,Blusas
michelle_belau,Tops,,Blusas
michelle_belau,Camisa,,Blusas
michelle_belau,Camisas,,Blusas
michelle_belau,Vestido,,Vestidos & Enterizos
michelle_belau,Vestidos,,Vestidos & Enterizos
michelle_belau,Vestidos De Chompa,,Vestidos & Enterizos
